State,2011,2012,2013,2014,2015,Total
China,12510,14440,17230,20930,24200,89310
India,10940,12200,16040,17880,19220,76280
Malaysia,4380,4380,4710,6410,9610,29490
"UK, CIs & IOM",9080,8320,7060,7030,7130,38620
New Zealand,9380,8640,6440,5620,6060,36140
Vietnam,3040,4460,4960,4050,4330,20840
Philippines,3030,3280,3300,3270,3760,16640
Sri Lanka,2760,2850,2710,3100,3400,14820
Pakistan,2200,2480,2770,2830,2860,13140
Taiwan,1680,2590,2460,2430,2340,11500
Thailand,1360,1570,1860,1940,2310,9040
USA,2930,2610,2200,2230,2150,12120
Indonesia,1810,1740,1800,1910,2140,9400
"Korea, South",2070,2090,1850,1900,2010,9920
Hong Kong,1330,1560,1650,1640,1600,7780
Singapore,1530,1690,1290,1490,1490,7490
France,1070,1160,1180,1390,1410,6210
Italy,1070,1690,1710,1350,1350,7170
Japan,1120,1100,1180,1250,1350,6000
