,2011,2012,2013,2014,2015
Bhutan,1150,1110,0,680,9930
India,6090,5650,710,3830,8880
Philippines,2330,2280,400,2580,6670
"UK, CIs & IOM",4280,4530,1360,2880,5900
New Zealand,2530,2040,1150,2310,4720
China,3040,3550,360,1560,3800
Pakistan,830,930,140,720,2800
South Africa,1420,1470,600,1440,2450
Ireland,710,730,250,690,2110
Nepal,850,720,20,710,1760
Indonesia,1110,1460,320,890,1650
Colombia,390,460,20,200,1530
Vietnam,740,990,150,780,1460
Malaysia,1950,1710,270,990,1380
Sri Lanka,700,920,80,550,1380
France,820,1170,80,430,1260
Brazil,520,460,70,400,1130
Kenya,310,260,60,390,1110
Zimbabwe,370,400,140,370,880
